img,caption
05928.png,two polar bears playing with each other in a body of water
18675.png,a woman standing next to a wall with a picture of a bear on it
04135.png,a woman sitting at a desk talking on a cell phone
61280.png,a woman holding up a sign with a picture of a man on it
14793.png,a woman holding a pair of scissors next to a man
30245.png,a cartoon character with a frisbee in it's mouth
15479.png,a man in a black shirt and a man in a white shirt and a man in a blue shirt and a man in a white shirt and a man in
23074.png,a man in a suit talking on a cell phone
81706.png,a man in a suit talking on a microphone
41852.png,a large group of people standing on top of a dirt road
75106.png,a young girl and a young boy looking at each other
86413.png,a white dog laying on the floor next to a book
30745.png,a close up of a picture of a girl in a bikini
92814.png,a man walking on the beach with a surfboard
87413.png,a woman posing for a picture in front of a sign
71396.png,a man in a black shirt is reading a book
17495.png,people standing around each other
04879.png,a man with a smile on his face posing for a picture
70189.png,a woman posing for a picture with a bouquet of flowers
71206.png,a black and white photo of a man with a beard
74152.png,a woman talking on a cell phone while holding a toothbrush
13652.png,a man in a blue shirt is reading a newspaper
30958.png,a statue of a bunch of animals on top of each other
21439.png,a painting of a man holding a baseball bat
74356.png,a man that is holding a sign
48926.png,a man and woman standing next to each other
48136.png,a herd of sheep standing next to each other
20435.png,a boy and a girl standing next to each other
52978.png,a man in a suit talking on a microphone
86540.png,a brown and white dog sitting on a wooden floor
87063.png,an assortment of toothbrushes and toothpaste on a table
94871.png,a man and a woman standing next to each other
10527.png,a crowd of people standing around a tent
41568.png,a man and a woman sitting next to each other
65741.png,a large group of people on a boat in the water
02841.png,a man in a suit is reading a newspaper
37580.png,a crowd of people standing next to each other
75823.png,a woman standing next to a man in front of a american flag
40351.png,a crowd of people standing next to a man holding a sign
64287.png,a person holding a cell phone in front of a building
97845.png,a painting of a dead animal on the ground
64813.png,a man standing next to a picture of a giraffe
29140.png,a man in a suit talking on a cell phone
93410.png,a woman walking down a train track with a suitcase
06243.png,a man wearing a hat and holding a sign
10649.png,a woman holding a knife in front of a wooden table
59718.png,a collage of photos of a man holding a baseball bat
42073.png,a crowd of people standing in front of a wall
15824.png,a man walking down the street with a skateboard
28017.png,a large group of people holding up a sign
61032.png,a man sitting on top of a rock on top of a rock
54092.png,a man in a suit and tie posing for a picture
61780.png,a man in a suit talking on a cell phone
05316.png,a person that is in the air with a fire hydrant
71902.png,a woman wearing a bikini and sunglasses posing for a picture
86357.png,a statue of a woman with a knife in her mouth
42391.png,a woman sitting on a couch playing a video game
40723.png,a man eating a cup of coffee next to a woman
56392.png,a bear that is laying down in the water
10283.png,a man in a suit talking on a cell phone
70842.png,a black and white photo of a crowd of people
07391.png,a large group of people holding up signs
25780.png,a herd of sheep standing next to each other
75086.png,a woman in a bikini posing for a picture
10625.png,a young boy holding a picture of a polar bear
13086.png,a large amount of umbrellas hanging from the ceiling of a building
17398.png,a man with a cartoon character on his face
90417.png,a clock on the side of a wall
87016.png,a view from the top of a hill of a mountain
59726.png,a woman talking on a cell phone in a car
26839.png,a young girl and a young boy are playing a video game
91750.png,a woman is holding a cell phone up to her face
21435.png,a man jumping up into the air to catch a frisbee
36578.png,a brown and white dog and a brown and white cat
52634.png,a man is looking at a picture of a woman
83256.png,a woman brushing her teeth with a child
48516.png,a crowd of people standing in front of a building
75231.png,a person with a surfboard in a body of water
36248.png,a woman in a suit holding a cell phone
20395.png,a man in a suit and tie posing for a picture
29851.png,a woman holding a baby in her arms
31409.png,a man sitting in front of a magazine holding a yellow coca cola coca cola coca coca coca coca coca coca
56490.png,a woman standing next to a man on a street
36875.png,a vintage photo of a man holding a baseball bat
72946.png,a man standing in front of a truck
01293.png,a painting of a person holding a skateboard
87520.png,a crowd of people standing in front of a building
54321.png,a man kissing a woman on the cheek
23096.png,a man standing in front of a picture of a man
26493.png,a number of photos of a woman in a bikini
41857.png,a large group of people standing in front of a christmas tree
41258.png,a fire hydrant that has some food on it
94387.png,a man sitting on the steps talking on a cell phone
64087.png,a man holding a sign in front of a store
18203.png,a young girl is posing for a picture
43520.png,a woman standing next to a man on the street
45382.png,a woman sitting on a couch with a plate of food
19834.png,a little boy that is standing in front of a box
03896.png,a black and white photo of a man in a suit
31604.png,a black and white photo of a fire hydrant with smoke coming out of it
34196.png,a black and white photo of a cow
35907.png,a woman standing in a kitchen spraying water on the floor
39862.png,a train traveling down train tracks next to trees
08653.png,a man is smiling while talking on a cell phone
62408.png,a bird standing on top of a grass covered field
92867.png,a collage of photos of a woman and a man
25436.png,a man holding a cell phone in his right hand
91283.png,a large group of people holding up a sign
36095.png,a woman in a black and white photo with her mouth open
49032.png,a collage of photos of people laying on the ground
36478.png,a piece of pizza sitting on top of a bed
73984.png,a collage of photos of a woman posing for a picture
